,company_name,old,total_employees,cities,type,industry,rating
233,Aavas Financiers, 13 years old , 5k-10k Employees ,Ahmedabad,Public,Financial Services,3-4
234,JK Lakshmi Cement, 42 years old , 1k-5k Employees ,Ahmedabad,Public,Building Material,3-4
235,Lenskart, 14 years old , 5k-10k Employees ,Ahmedabad,Indian Unicorn,Internet,3-4
236,Ashok Leyland, 76 years old , 5k-10k Employees ,Ahmedabad,Public,Automobile,4-5
237,Somany Ceramics, 56 years old , 1k-5k Employees ,Ahmedabad,Public,Building Material,4-5
238,Electronica Finance, 34 years old , 1k-5k Employees ,Ahmedabad,Public,Nbfc,4-5
239,Ice Make Refrigeration, 31 years old , 501-1k Employees ,Ahmedabad,Public,Electrical Equipment,4-5
240,Bank of America, 26 years old , 10k-50k Employees ,Ahmedabad,Fortune India 500,Banking,4-5
241,ElasticRun, 8 years old , 1k-5k Employees ,Ahmedabad,Indian Unicorn,Logistics,3-4
242,SYSKA LED Lights, 12 years old , 1k-5k Employees (Global) ,Ahmedabad,Startup,Consumer Electronics & Appliances,2-3
243,ITC Hotels, 49 years old , 5k-10k Employees ,Ahmedabad,Public,Hospitality,4-5
244,Agrostar, 11 years old , 1k-5k Employees ,Ahmedabad,Startup,Internet,3-4
245,Gabriel India, 63 years old , 1k-5k Employees ,Ahmedabad,Public,Auto Components,4-5
246,Dharmaj Crop Guard, 9 years old , 501-1k Employees ,Ahmedabad,Public,Agro Chemicals,4-5
247,Swiggy, 10 years old , 5k-10k Employees ,Ahmedabad,Indian Unicorn,Internet,3-4
248,Shriram Finance, 45 years old , 50k-1 Lakh Employees ,Ahmedabad,Public,Nbfc,4-5
249,Toyota Tsusho, 25 years old , 501-1k Employees ,Ahmedabad,Public,Metals & Mining,3-4
250,Capri Global Capital, 27 years old , 1k-5k Employees ,Ahmedabad,Public,Nbfc,3-4
251,Uflex, 39 years old , 5k-10k Employees ,Ahmedabad,Public,Packaging,3-4
252,LivSpace, 9 years old , 1k-5k Employees ,Ahmedabad,Indian Unicorn,Architecture & Interior Design,3-4
253,Hindustan Unilever, 152 years old , 10k-50k Employees ,Ahmedabad,Public,Fmcg,4-5
254,Reliance SMSL, 17 years old , 1k-5k Employees ,Ahmedabad,Public,Bpo,3-4
255,Sharekhan, 24 years old , 1k-5k Employees ,Ahmedabad,Public,Financial Services,3-4
256,Blinkit, 11 years old , 1k-5k Employees ,Ahmedabad,Indian Unicorn,Internet,3-4
257,Metro Cash & Carry, 21 years old , 1k-5k Employees ,Ahmedabad,Forbes Global 2000,Retail,4-5
258,Aarvee Denims & Exports, 36 years old , 1k-5k Employees ,Ahmedabad,Public,Fashion & Textile,3-4
259,Life Insurance Corporation of India, 68 years old , 1 Lakh+ Employees ,Ahmedabad,Fortune India 500,Insurance,4-5
260,Meghmani Dyes and Intermediates, 45 years old , 1k-5k Employees ,Ahmedabad,Public,Financial Services,3-4
261,Moglix, 9 years old , 501-1k Employees ,Ahmedabad,Indian Unicorn,Internet,3-4
262,Future Retail, 37 years old , 10k-50k Employees ,Ahmedabad,Public,Retail,4-5
263,Tech Mahindra Business Services, 21 years old , 5k-10k Employees ,Ahmedabad,Public,Bpo,3-4
264,Aditya Birla Fashion and Retail, 36 years old , 10k-50k Employees ,Indore,Fortune India 500,Fashion & Textile,4-5
265,Ppap Automotive, 46 years old , 1k-5k Employees ,Noida,Public,Auto Components,3-4
266,Pantaloons, 27 years old , 5k-10k Employees ,Indore,Public,Fashion & Textile,4-5
267,Bosch, 138 years old , 5k-10k Employees ,Ahmedabad,Public,Auto Components,4-5
268,Simplex Infrastructures, 100 years old , 1k-5k Employees ,Ahmedabad,Public,Engineering & Construction,3-4
269,Tata Chemicals, 85 years old , 1k-5k Employees ,Ahmedabad,Public,Chemicals,4-5
270,V-Guard Industries, 47 years old , 1k-5k Employees ,Ahmedabad,Public,Consumer Electronics & Appliances,4-5
271,Beardo, 9 years old , 51-200 Employees ,Ahmedabad,Startup,Beauty & Personal Care,4-5
272,HDFC Ergo General Insurance, 22 years old , 10k-50k Employees ,Ahmedabad,Public,Insurance,3-4
273,Indian Oil Corporation, 65 years old , 10k-50k Employees ,Ahmedabad,Fortune India 500,Oil & Gas,4-5
274,Shoppers Stop, 33 years old , 5k-10k Employees ,Ahmedabad,Public,Retail,4-5
